Fold,Train_Period,Test_Period,Train_Size,Test_Size,Accuracy,AUC,F1_Score,Precision,Recall,Best_Model
1,1961-2010,2011-2015,14256,1784,96.76190476190476,99.45212178459731,96.15819209039547,96.26696832579185,96.04966139954854,Ensemble
2,1961-2013,2014-2017,15984,1680,97.20238095238095,99.67633357201535,95.22842639593908,96.10655737704919,94.36619718309859,Ensemble
3,1961-2016,2017-2020,16848,1512,97.55952380952381,99.76933630595096,95.72471324296143,97.86780383795309,93.6734693877551,Ensemble
4,1961-2019,2020-2023,17712,1344,97.38095238095238,99.78897785341911,97.05488621151271,97.84075573549258,96.28154050464808,Ensemble
5,1961-2015,2016-2023,16488,2688,97.47023809523809,99.77614380841104,96.44797325532805,97.87955894826123,95.05766062602964,Ensemble
Mean,-,-,16257,1801,97.275,99.69258266487876,96.12283823922736,97.1923288449096,95.08570582021599,Ensemble
Std,-,-,1148,467,0.2824315380692199,0.1266894521770498,0.6219569364826684,0.8227029700168271,0.9871293638009636,-
